item,direccion,tecnologia,tipo,marca,latitud,longitud,administrador
1,"Calle Brasil con Jr. Union, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.0675,-77.1248,MUNICIPALIDAD DISTRITAL DE LA PERLA
2,"Av Santa Rosa, Ovalo Saloom, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06587,-77.11938,MUNICIPALIDAD DISTRITAL DE LA PERLA
3,"Jr Alfonso Ugarte 1301 con Av, La Paz La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07022,-77.12991,MUNICIPALIDAD DISTRITAL DE LA PERLA
4,"Jr. Montevideo con Jr. Atahualpa (IE  Jose Olaya), La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06938,-77.12659,MUNICIPALIDAD DISTRITAL DE LA PERLA
5,"Jr. Atahualpa, Jr. Montevideo, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06865,-77.12627,MUNICIPALIDAD DISTRITAL DE LA PERLA
6,"Jr. Brasil, Jr. Cahuide, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06897,-77.12545,MUNICIPALIDAD DISTRITAL DE LA PERLA
7,"Av. Jose Galvez, Paradero Galvez, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06561,-77.12019,MUNICIPALIDAD DISTRITAL DE LA PERLA
8,"Av. Jose Galvez con Jr. Cahuide , La Perla",Cámara IP,Domo PTZ,DAHUA,-12.0674,-77.12979,MUNICIPALIDAD DISTRITAL DE LA PERLA
9,"Jr. Arica con Jr. Tupac Amaru  (Parque Batifora), La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06908,-77.12234,MUNICIPALIDAD DISTRITAL DE LA PERLA
10,"Jr. Francisco Bolognesi, Av. La Paz, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06947,-77.13176,MUNICIPALIDAD DISTRITAL DE LA PERLA
11,"Av. Costanera Cruce con Av. Francisco Bolognesi , La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07037,-77.13163,MUNICIPALIDAD DISTRITAL DE LA PERLA
12,"Jr. Brasil cuadra 4 (La Cruz), La Perla",Cámara IP,Fija,DAHUA,-12.06839,-77.12515,MUNICIPALIDAD DISTRITAL DE LA PERLA
13,"Jr. Grau con  Pasaje Caceres, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06772,-77.13004,MUNICIPALIDAD DISTRITAL DE LA PERLA
14,"Jr. Zarumilla, Jr. Atahualpa, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.06882,-77.12841,MUNICIPALIDAD DISTRITAL DE LA PERLA
15,"Av. La Paz  con Jr. Brasil, La Perla",Cámara IP,Domo PTZ,DAHUA,-12.07156,-77.12633,MUNICIPALIDAD DISTRITAL DE LA PERLA
16,"Jr. Arica (cuadra 6), Jr. Atahualpa, La Perla",Cámara IP,Domo PTZ,HIKVISI0N,-12.07069,-77.12342,MUNICIPALIDAD DISTRITAL DE LA PERLA
17,"Jr. Union, Jr. Belisario Suarez, La Perla",Cámara IP,Domo PTZ,HIKVISI0N,-12.06802,-77.12771,MUNICIPALIDAD DISTRITAL DE LA PERLA
18,"Jr. Union, Jr. Belisario Suarez (Cam Fija), La Perla",Cámara IP,Fija,DAHUA,-12.06803,-77.12772,MUNICIPALIDAD DISTRITAL DE LA PERLA
